"tool_final","Orthogroup","Ambrosia","Non_Ambrosia","NumberGenes"
"Peptidases","N0.HOG0002186",2,2.5,11
"Peptidases","N0.HOG0002189",2,0,383
"Peptidases","N0.HOG0002195",1,1,385
"Peptidases","N0.HOG0002198",0,2,676
"Peptidases","N0.HOG0002202",4,0,47
"Peptidases","N0.HOG0002206",2,0,383
"Peptidases","N0.HOG0002208",2,1,87
"Peptidases","N0.HOG0002210",0,1,435
"Peptidases","N0.HOG0002214",0,1,435
"Peptidases","N0.HOG0002226",1,1,385
"Peptidases","N0.HOG0002229",0,2,676
"Peptidases","N0.HOG0002230",0,7,22
"Peptidases","N0.HOG0002231",1,1,385
"Peptidases","N0.HOG0002232",2,1,87
"Peptidases","N0.HOG0002235",0,4,95
"Peptidases","N0.HOG0002236",0,2,676
"Peptidases","N0.HOG0002242",9,0,6
"Peptidases","N0.HOG0002252",2,0,383
"Peptidases","N0.HOG0002255",0,1,435
"Peptidases","N0.HOG0002256",7.5,0,1
"Peptidases","N0.HOG0002258",1.5,2,10
"Peptidases","N0.HOG0002260",2,2,180
"Peptidases","N0.HOG0002263",0,1,435
"Peptidases","N0.HOG0002264",4,0,47
"Peptidases","N0.HOG0002265",2,2,180
"Peptidases","N0.HOG0002268",2,0,383
"Peptidases","N0.HOG0002273",0,1,435
"Peptidases","N0.HOG0002276",2,2,180
"Peptidases","N0.HOG0002282",2,2,180
"Peptidases","N0.HOG0002284",2,0,383
"Peptidases","N0.HOG0002285",2,1,87
"Peptidases","N0.HOG0002293",3,2,25
"Peptidases","N0.HOG0002294",2,2,180
"Peptidases","N0.HOG0002297",2,2,180
"Peptidases","N0.HOG0002299",1,1,385
"Peptidases","N0.HOG0002300",2,3,21
"Peptidases","N0.HOG0002301",2,3,21
"Peptidases","N0.HOG0002302",0,1,435
"Peptidases","N0.HOG0002304",0,4,95
"Peptidases","N0.HOG0002307",2,2,180
"Peptidases","N0.HOG0002314",0,2,676
"Peptidases","N0.HOG0002316",2,1,87
"Peptidases","N0.HOG0002318",0,3,131
"Peptidases","N0.HOG0002321",0,2,676
"Peptidases","N0.HOG0002324",2,2,180
"Peptidases","N0.HOG0002326",2,2,180
"Peptidases","N0.HOG0002329",0,2,676
"Peptidases","N0.HOG0002330",0,2,676
"Peptidases","N0.HOG0002335",2,2,180
"Peptidases","N0.HOG0002338",2,1.5,20
"Peptidases","N0.HOG0002342",0,2,676
"Peptidases","N0.HOG0002345",0,2,676
"Peptidases","N0.HOG0002348",0,2,676
"Peptidases","N0.HOG0002350",3,0,65
"Peptidases","N0.HOG0002355",0,1,435
"Peptidases","N0.HOG0002362",2,2,180
"Peptidases","N0.HOG0002365",2,0,383
"Peptidases","N0.HOG0002368",2,2,180
"Peptidases","N0.HOG0002369",1,1,385
"Peptidases","N0.HOG0002371",0,2,676
"Peptidases","N0.HOG0002374",0,2,676
"Peptidases","N0.HOG0002376",2,0,383
"Peptidases","N0.HOG0002378",4,2,8
"Peptidases","N0.HOG0002382",3,0,65
"Peptidases","N0.HOG0002384",2,1,87
"Peptidases","N0.HOG0002386",0,2,676
"Peptidases","N0.HOG0002391",0,3.5,6
"Peptidases","N0.HOG0002399",0,2,676
"Peptidases","N0.HOG0002405",2,0,383
"Peptidases","N0.HOG0002407",0,2,676
"Peptidases","N0.HOG0002408",1,1,385
"Peptidases","N0.HOG0002417",0,1,435
"Peptidases","N0.HOG0002422",0,2,676
"Peptidases","N0.HOG0002424",2,0,383
"Peptidases","N0.HOG0002435",0,1,435
"Peptidases","N0.HOG0002436",0,2,676
"Peptidases","N0.HOG0002437",1,1,385
"Peptidases","N0.HOG0002441",3,2,25
"Peptidases","N0.HOG0002447",2,2,180
"Peptidases","N0.HOG0002459",0,2,676
"Peptidases","N0.HOG0002461",0,2,676
"Peptidases","N0.HOG0002468",0,5,68
"Peptidases","N0.HOG0002470",2,1,87
"Peptidases","N0.HOG0002472",0,1,435
"Peptidases","N0.HOG0002476",2,0,383
"Peptidases","N0.HOG0002479",0,2,676
"Peptidases","N0.HOG0002480",3,2,25
"Peptidases","N0.HOG0002481",0,2,676
"Peptidases","N0.HOG0002491",2,2,180
"Peptidases","N0.HOG0002493",0,2,676
"Peptidases","N0.HOG0002494",0,2,676
"Peptidases","N0.HOG0002498",2,0,383
"Peptidases","N0.HOG0002505",0,2,676
"Peptidases","N0.HOG0002508",1,1,385
"Peptidases","N0.HOG0002509",2,0,383
"Peptidases","N0.HOG0002517",1,2,81
"Peptidases","N0.HOG0002520",1,1,385
"Peptidases","N0.HOG0002528",0,2,676
"Peptidases","N0.HOG0002531",1,1,385
"Peptidases","N0.HOG0002532",2,1,87
"Peptidases","N0.HOG0002533",0,1,435
"Peptidases","N0.HOG0002538",0,2,676
"Peptidases","N0.HOG0002542",0,5,68
"Peptidases","N0.HOG0002547",1,1,385
"Peptidases","N0.HOG0002550",2,2,180
"Peptidases","N0.HOG0002552",0,3,131
"Peptidases","N0.HOG0002553",0,1,435
"Peptidases","N0.HOG0002554",1,1.5,23
"Peptidases","N0.HOG0002555",0,2,676
"Peptidases","N0.HOG0002562",0,3,131
"Peptidases","N0.HOG0002563",2,1,87
"Peptidases","N0.HOG0002564",1,1,385
"Peptidases","N0.HOG0002565",2,1,87
"Peptidases","N0.HOG0002568",2,2,180
"Peptidases","N0.HOG0002569",1.5,1,27
"Peptidases","N0.HOG0002571",0,2,676
"Peptidases","N0.HOG0002582",0,2,676
"Peptidases","N0.HOG0002587",2,2,180
"Peptidases","N0.HOG0002590",0,1,435
"Peptidases","N0.HOG0002591",2,2,180
"Peptidases","N0.HOG0002592",0,2,676
"Peptidases","N0.HOG0002593",1,0,72
"Peptidases","N0.HOG0002597",1,1.5,23
"Peptidases","N0.HOG0002602",4,0,47
"Peptidases","N0.HOG0002608",0,2,676
"Peptidases","N0.HOG0002611",0,2,676
"Peptidases","N0.HOG0002625",1,1,385
"Peptidases","N0.HOG0002626",2,0,383
"Peptidases","N0.HOG0002627",0,6.5,1
"Peptidases","N0.HOG0002632",1,1,385
"Peptidases","N0.HOG0002636",2,2,180
"Peptidases","N0.HOG0002637",0,2,676
"Peptidases","N0.HOG0002641",2,0,383
"Peptidases","N0.HOG0002646",1,3,3
"Peptidases","N0.HOG0002647",2,1,87
"Peptidases","N0.HOG0002648",1,1,385
"Peptidases","N0.HOG0002654",3,0,65
"Peptidases","N0.HOG0002655",1,1,385
"Peptidases","N0.HOG0002658",5,0,19
"Peptidases","N0.HOG0002660",1,2,81
"Peptidases","N0.HOG0002663",2,2,180
"Peptidases","N0.HOG0002664",0,2,676
"Peptidases","N0.HOG0002666",2,2,180
"Peptidases","N0.HOG0002672",1.5,1,27
"Peptidases","N0.HOG0002673",0,1,435
"Peptidases","N0.HOG0002685",1,1,385
"Peptidases","N0.HOG0002688",2,2,180
"Peptidases","N0.HOG0002697",2,0,383
"Peptidases","N0.HOG0002699",2,2,180
"Peptidases","N0.HOG0002703",0,2,676
"Peptidases","N0.HOG0002710",0,2,676
"Peptidases","N0.HOG0002711",0,1,435
"Peptidases","N0.HOG0002715",0,1,435
"Peptidases","N0.HOG0002717",1.5,1,27
"Peptidases","N0.HOG0002723",2.5,4,1
"Peptidases","N0.HOG0002724",0,2,676
"Peptidases","N0.HOG0002725",0,2,676
"Peptidases","N0.HOG0002740",1,1,385
"Peptidases","N0.HOG0002743",0,2,676
"Peptidases","N0.HOG0002744",2,1.5,20
"Peptidases","N0.HOG0002745",0,1,435
"Peptidases","N0.HOG0002751",0,2,676
"Peptidases","N0.HOG0002752",1,2,81
"Peptidases","N0.HOG0002755",0,1,435
"Peptidases","N0.HOG0002761",0,2,676
"Peptidases","N0.HOG0002764",2,0,383
"Peptidases","N0.HOG0002767",1,1,385
"Peptidases","N0.HOG0002774",1.5,1,27
"Peptidases","N0.HOG0002778",2,2,180
"Peptidases","N0.HOG0002780",1,1,385
"Peptidases","N0.HOG0002784",2,0,383
"Peptidases","N0.HOG0002788",1.5,1,27
"Peptidases","N0.HOG0002791",0,2,676
"Peptidases","N0.HOG0002792",2,2,180
"Peptidases","N0.HOG0002798",0,2,676
"Peptidases","N0.HOG0002799",0,2,676
"Peptidases","N0.HOG0002800",4,0,47
"Peptidases","N0.HOG0002805",0,1,435
"Peptidases","N0.HOG0002808",1,2,81
"Peptidases","N0.HOG0002812",2,3,21
"Peptidases","N0.HOG0002815",0,1,435
"Peptidases","N0.HOG0002818",0,1,435
"Peptidases","N0.HOG0002821",2,0,383
"Peptidases","N0.HOG0002825",1,1,385
"Peptidases","N0.HOG0002830",0,1,435
"Peptidases","N0.HOG0002838",2,0,383
"Peptidases","N0.HOG0002842",1,1,385
"Peptidases","N0.HOG0002843",1,1,385
"Peptidases","N0.HOG0002851",0,2,676
"Peptidases","N0.HOG0002852",2,1.5,20
"Peptidases","N0.HOG0002853",0,2,676
"Peptidases","N0.HOG0002856",0,1,435
"Peptidases","N0.HOG0002857",2,0,383
"Peptidases","N0.HOG0002858",0,2,676
"Peptidases","N0.HOG0002859",2,0,383
"Peptidases","N0.HOG0002868",4,0,47
"Peptidases","N0.HOG0002874",1,2,81
"Peptidases","N0.HOG0002876",0,1.5,39
"Peptidases","N0.HOG0002878",0,2,676
"Peptidases","N0.HOG0002881",2,2,180
"Peptidases","N0.HOG0002883",0,2,676
"Peptidases","N0.HOG0002889",0,1,435
"Peptidases","N0.HOG0002890",0,2,676
"Peptidases","N0.HOG0002892",2.5,1,2
"Peptidases","N0.HOG0002893",4,4,8
"Peptidases","N0.HOG0002894",0,2,676
"Peptidases","N0.HOG0002896",0,1.5,39
"Peptidases","N0.HOG0002897",0,2,676
"Peptidases","N0.HOG0002901",2,0,383
"Peptidases","N0.HOG0002903",0,2,676
"Peptidases","N0.HOG0002918",2.5,0,7
"Peptidases","N0.HOG0002919",0,6,34
"Peptidases","N0.HOG0002926",2,2,180
"Peptidases","N0.HOG0002929",2,2,180
"Peptidases","N0.HOG0002931",1,1,385
"Peptidases","N0.HOG0002936",0,2,676
"Peptidases","N0.HOG0002939",1,1,385
"Peptidases","N0.HOG0002945",0,2,676
"Peptidases","N0.HOG0002948",0,2,676
"Peptidases","N0.HOG0002949",0,2,676
"Peptidases","N0.HOG0002951",0,1,435
"Peptidases","N0.HOG0002953",1,1,385
"Peptidases","N0.HOG0002954",1,1,385
"Peptidases","N0.HOG0002955",1,1,385
"Peptidases","N0.HOG0002961",2,1,87
"Peptidases","N0.HOG0002962",2,2,180
"Peptidases","N0.HOG0002963",2,2,180
"Peptidases","N0.HOG0002965",0,2,676
"Peptidases","N0.HOG0002970",1,1,385
"Peptidases","N0.HOG0002973",2,2,180
"Peptidases","N0.HOG0002976",1,1,385
"Peptidases","N0.HOG0002977",2,0,383
"Peptidases","N0.HOG0002979",2,0,383
"Peptidases","N0.HOG0002985",2.5,1,2
"Peptidases","N0.HOG0002986",1,1,385
"Peptidases","N0.HOG0002987",0,1,435
"Peptidases","N0.HOG0002990",1.5,1.5,3
"Peptidases","N0.HOG0002991",1,1,385
"Peptidases","N0.HOG0002995",1,1,385
"Peptidases","N0.HOG0003001",0,2,676
"Peptidases","N0.HOG0003004",0,2,676
"Peptidases","N0.HOG0003007",2,0,383
"Peptidases","N0.HOG0003010",2,2,180
"Peptidases","N0.HOG0003011",0,5,68
"Peptidases","N0.HOG0003013",0,1,435
"Peptidases","N0.HOG0003021",1,1,385
"Peptidases","N0.HOG0003027",2,0,383
"Peptidases","N0.HOG0003036",1,2,81
"Peptidases","N0.HOG0003044",0,2,676
"Peptidases","N0.HOG0003046",0,2,676
"Peptidases","N0.HOG0003053",0,1.5,39
"Peptidases","N0.HOG0003054",1,1,385
"Peptidases","N0.HOG0003057",2,0,383
"Peptidases","N0.HOG0003066",1,1,385
"Peptidases","N0.HOG0003072",1,1,385
"Peptidases","N0.HOG0003073",0,2,676
"Peptidases","N0.HOG0003081",0,2,676
"Peptidases","N0.HOG0003089",2,0,383
"Peptidases","N0.HOG0003090",1,1,385
"Peptidases","N0.HOG0003093",0,2,676
"Peptidases","N0.HOG0003102",2,0,383
"Peptidases","N0.HOG0003103",0,2,676
"Peptidases","N0.HOG0003105",2,3,21
"Peptidases","N0.HOG0003108",1,1,385
"Peptidases","N0.HOG0003112",0,1,435
"Peptidases","N0.HOG0003115",0,1,435
"Peptidases","N0.HOG0003119",1,1,385
"Peptidases","N0.HOG0003120",1,1,385
"Peptidases","N0.HOG0003130",0,1,435
"Peptidases","N0.HOG0003138",2,1,87
"Peptidases","N0.HOG0003143",0,1,435
"Peptidases","N0.HOG0003148",0,3,131
"Peptidases","N0.HOG0003152",0,1.5,39
"Peptidases","N0.HOG0003155",2,0,383
"Peptidases","N0.HOG0003159",0,1,435
"Peptidases","N0.HOG0003167",0,2,676
"Peptidases","N0.HOG0003170",2,3,21
"Peptidases","N0.HOG0003172",2,2,180
"Peptidases","N0.HOG0003173",1,1,385
"Peptidases","N0.HOG0003174",2.5,2,5
"Peptidases","N0.HOG0003177",0,4,95
"Peptidases","N0.HOG0003178",0,2,676
"Peptidases","N0.HOG0003179",2,0,383
"Peptidases","N0.HOG0003183",2,0,383
"Peptidases","N0.HOG0003184",0,2,676
"Peptidases","N0.HOG0003187",1,1,385
"Peptidases","N0.HOG0003189",0,4,95
"Peptidases","N0.HOG0003196",2,2,180
"Peptidases","N0.HOG0003198",0,3,131
"Peptidases","N0.HOG0003201",1,1,385
"Peptidases","N0.HOG0003203",2,2,180
"Peptidases","N0.HOG0003207",0,1,435
"Peptidases","N0.HOG0003208",0,2,676
"Peptidases","N0.HOG0003217",3,0,65
"Peptidases","N0.HOG0003218",0,1,435
"Peptidases","N0.HOG0003220",0,1,435
"Peptidases","N0.HOG0003228",2,6,3
"Peptidases","N0.HOG0003234",0,2,676
"Peptidases","N0.HOG0003236",2,0,383
"Peptidases","N0.HOG0003238",1,2,81
"Peptidases","N0.HOG0003240",2,2,180
"Peptidases","N0.HOG0003243",0,1.5,39
"Peptidases","N0.HOG0003245",0,1,435
"Peptidases","N0.HOG0003249",1,0,72
"Peptidases","N0.HOG0003251",1,1,385
"Peptidases","N0.HOG0003255",0,2,676
"Peptidases","N0.HOG0003257",2,0,383
"Peptidases","N0.HOG0003259",0,2,676
"Peptidases","N0.HOG0003273",1,1,385
"Peptidases","N0.HOG0003287",1,1,385
"Peptidases","N0.HOG0003296",2,0,383
"Peptidases","N0.HOG0003302",0,2,676
"Peptidases","N0.HOG0003305",1,1,385
"Peptidases","N0.HOG0003315",1,1,385
"Peptidases","N0.HOG0003317",0,2,676
"Peptidases","N0.HOG0003318",2,0,383
"Peptidases","N0.HOG0003322",1,1,385
"Peptidases","N0.HOG0003325",0,2,676
"Peptidases","N0.HOG0003333",2,2,180
"Peptidases","N0.HOG0003340",0,1,435
"Peptidases","N0.HOG0003347",1,1,385
"Peptidases","N0.HOG0003349",0,2,676
"Peptidases","N0.HOG0003351",1,1,385
"Peptidases","N0.HOG0003352",0,1,435
"Peptidases","N0.HOG0003354",1,1,385
"Peptidases","N0.HOG0003356",1,1,385
"Peptidases","N0.HOG0003360",1,1,385
"Peptidases","N0.HOG0003368",0,2,676
"Peptidases","N0.HOG0003369",1,1,385
"Peptidases","N0.HOG0003373",2,0,383
"Peptidases","N0.HOG0003375",0,2,676
"Peptidases","N0.HOG0003376",2,4,5
"Peptidases","N0.HOG0003379",1,1,385
"Peptidases","N0.HOG0003380",2,1,87
"Peptidases","N0.HOG0003382",0,4,95
"Peptidases","N0.HOG0003391",0,2,676
"Peptidases","N0.HOG0003393",0,1,435
"Peptidases","N0.HOG0003394",0,2,676
"Peptidases","N0.HOG0003395",0,2,676
"Peptidases","N0.HOG0003403",1,1,385
"Peptidases","N0.HOG0003418",0,2,676
"Peptidases","N0.HOG0003422",1,1,385
"Peptidases","N0.HOG0003428",0,3.5,6
"Peptidases","N0.HOG0003429",1,1,385
"Peptidases","N0.HOG0003430",1,0,72
"Peptidases","N0.HOG0003433",0,1,435
"Peptidases","N0.HOG0003434",2,0,383
"Peptidases","N0.HOG0003436",1,1,385
"Peptidases","N0.HOG0003445",4.5,0,4
"Peptidases","N0.HOG0003452",0,2,676
"Peptidases","N0.HOG0003456",0,2,676
"Peptidases","N0.HOG0003460",1,1,385
"Peptidases","N0.HOG0003462",0,2,676
"Peptidases","N0.HOG0003466",2,0,383
"Peptidases","N0.HOG0003471",0,1,435
"Peptidases","N0.HOG0003472",0,1,435
"Peptidases","N0.HOG0003473",0,2,676
"Peptidases","N0.HOG0003486",0,1,435
"Peptidases","N0.HOG0003494",2,0,383
"Peptidases","N0.HOG0003496",2,2,180
"Peptidases","N0.HOG0003506",0,1,435
"Peptidases","N0.HOG0003507",1,1,385
"Peptidases","N0.HOG0003509",2,0,383
"Peptidases","N0.HOG0003513",2,1,87
"Peptidases","N0.HOG0003516",0,2,676
"Peptidases","N0.HOG0003520",2,1,87
"Peptidases","N0.HOG0003523",0,3,131
"Peptidases","N0.HOG0003529",1,1,385
"Peptidases","N0.HOG0003531",0,2,676
"Peptidases","N0.HOG0003535",1,1,385
"Peptidases","N0.HOG0003541",0,1,435
"Peptidases","N0.HOG0003543",1,1,385
"Peptidases","N0.HOG0003544",2,2,180
"Peptidases","N0.HOG0003547",1,1,385
"Peptidases","N0.HOG0003555",1,1,385
"Peptidases","N0.HOG0003558",0,1.5,39
"Peptidases","N0.HOG0003567",1,1,385
"Peptidases","N0.HOG0003568",1,2,81
"Peptidases","N0.HOG0003569",0,1.5,39
"Peptidases","N0.HOG0003584",0,2,676
"Peptidases","N0.HOG0003592",0,2,676
"Peptidases","N0.HOG0003599",2,0,383
"Peptidases","N0.HOG0003608",2,2,180
"Peptidases","N0.HOG0003612",1,1,385
"Peptidases","N0.HOG0003613",0,4,95
"Peptidases","N0.HOG0003615",0,1,435
"Peptidases","N0.HOG0003625",0,2,676
"Peptidases","N0.HOG0003627",0,2,676
"Peptidases","N0.HOG0003628",0,5.5,5
"Peptidases","N0.HOG0003631",12,4,1
"Peptidases","N0.HOG0003633",0,2,676
"Peptidases","N0.HOG0003634",0,2,676
"Peptidases","N0.HOG0003636",1,1,385
"Peptidases","N0.HOG0003638",2,0,383
"Peptidases","N0.HOG0003640",0,2,676
"Peptidases","N0.HOG0003643",0,2,676
"Peptidases","N0.HOG0003649",0,1.5,39
"Peptidases","N0.HOG0003650",1,1,385
"Peptidases","N0.HOG0003654",0,2,676
"Peptidases","N0.HOG0003658",1,0,72
"Peptidases","N0.HOG0003659",0,1,435
"Peptidases","N0.HOG0003665",2,0,383
"Peptidases","N0.HOG0003669",1,1,385
"Peptidases","N0.HOG0003670",0,2,676
"Peptidases","N0.HOG0003671",0,1,435
"Peptidases","N0.HOG0003673",2,0,383
"Peptidases","N0.HOG0003674",0,2,676
"Peptidases","N0.HOG0003675",0,5,68
"Peptidases","N0.HOG0003676",0,1,435
"Peptidases","N0.HOG0003681",0,1,435
"Peptidases","N0.HOG0003682",0,2,676
"Peptidases","N0.HOG0003683",0,2,676
"Peptidases","N0.HOG0003685",2,0,383
"Peptidases","N0.HOG0003687",1,1,385
"Peptidases","N0.HOG0003691",0,1,435
"Peptidases","N0.HOG0003704",1,1,385
"Peptidases","N0.HOG0003709",2,2,180
"Peptidases","N0.HOG0003715",2,0,383
"Peptidases","N0.HOG0003722",2,0,383
"Peptidases","N0.HOG0003727",1,1,385
"Peptidases","N0.HOG0003728",0,1,435
"Peptidases","N0.HOG0003741",2,1,87
"Peptidases","N0.HOG0003742",0,1,435
"Peptidases","N0.HOG0003748",1,1,385
"Peptidases","N0.HOG0003750",0,2,676
"Peptidases","N0.HOG0003751",2,1,87
"Peptidases","N0.HOG0003761",0,1,435
"Peptidases","N0.HOG0003763",0,2,676
"Peptidases","N0.HOG0003765",0,2,676
"Peptidases","N0.HOG0003781",0,1,435
"Peptidases","N0.HOG0003782",0,1,435
"Peptidases","N0.HOG0003786",1,1,385
"Peptidases","N0.HOG0003787",0,1,435
"Peptidases","N0.HOG0003794",0,2,676
"Peptidases","N0.HOG0003795",0,2,676
"Peptidases","N0.HOG0003797",0,2,676
"Peptidases","N0.HOG0003799",2,2,180
"Peptidases","N0.HOG0003802",0,2,676
"Peptidases","N0.HOG0003806",0,2,676
"Peptidases","N0.HOG0003808",0,2,676
"Peptidases","N0.HOG0003812",1.5,1,27
"Peptidases","N0.HOG0003821",2,0,383
"Peptidases","N0.HOG0003822",1,1,385
"Peptidases","N0.HOG0003826",0,2,676
"Peptidases","N0.HOG0003827",1,1,385
"Peptidases","N0.HOG0003828",0,1,435
"Peptidases","N0.HOG0003830",2,0,383
"Peptidases","N0.HOG0003831",2,0,383
"Peptidases","N0.HOG0003840",1,1,385
"Peptidases","N0.HOG0003842",0,1,435
"Peptidases","N0.HOG0003845",0,1,435
"Peptidases","N0.HOG0003852",1,1,385
"Peptidases","N0.HOG0003861",0,1.5,39
"Peptidases","N0.HOG0003862",1,1,385
"Peptidases","N0.HOG0003865",0,2,676
"Peptidases","N0.HOG0003868",2,0,383
"Peptidases","N0.HOG0003872",0,1,435
"Peptidases","N0.HOG0003875",2,2.5,11
"Peptidases","N0.HOG0003885",1,1,385
"Peptidases","N0.HOG0003886",1,1,385
"Peptidases","N0.HOG0003887",0,2,676
"Peptidases","N0.HOG0003890",0,2,676
"Peptidases","N0.HOG0003891",1,2,81
"Peptidases","N0.HOG0003892",1.5,1,27
"Peptidases","N0.HOG0003900",1,1,385
"Peptidases","N0.HOG0003903",2,0,383
"Peptidases","N0.HOG0003904",0,2,676
"Peptidases","N0.HOG0003908",0,3,131
"Peptidases","N0.HOG0003926",2,0,383
"Peptidases","N0.HOG0003928",0,2,676
"Peptidases","N0.HOG0003935",0,2,676
"Peptidases","N0.HOG0003936",0,2,676
"Peptidases","N0.HOG0003937",0,2,676
"Peptidases","N0.HOG0003944",1,1,385
"Peptidases","N0.HOG0003945",0,1.5,39
"Peptidases","N0.HOG0003946",1,1,385
"Peptidases","N0.HOG0003950",0,2,676
"Peptidases","N0.HOG0003951",0,2,676
"Peptidases","N0.HOG0003953",1,2,81
"Peptidases","N0.HOG0003959",1,1,385
"Peptidases","N0.HOG0003961",0,1,435
"Peptidases","N0.HOG0003968",4,0,47
"Peptidases","N0.HOG0003979",0,2,676
"Peptidases","N0.HOG0003980",0,2,676
"Peptidases","N0.HOG0003982",2,1,87
"Peptidases","N0.HOG0003986",1,1,385
"Peptidases","N0.HOG0003987",0,2,676
"Peptidases","N0.HOG0003989",1,1,385
"Peptidases","N0.HOG0003993",0,2,676
"Peptidases","N0.HOG0003998",2.5,2,5
"Peptidases","N0.HOG0004003",0,1,435
"Peptidases","N0.HOG0004005",0,1,435
"Peptidases","N0.HOG0004015",1,1,385
"Peptidases","N0.HOG0004018",5,0,19
"Peptidases","N0.HOG0004021",1,1,385
"Peptidases","N0.HOG0004027",0,1,435
"Peptidases","N0.HOG0004029",2,0,383
"Peptidases","N0.HOG0004030",0,1,435
"Peptidases","N0.HOG0004037",0,2,676
"Peptidases","N0.HOG0004045",0,1,435
"Peptidases","N0.HOG0004057",2,0,383
"Peptidases","N0.HOG0004063",2,0,383
"Peptidases","N0.HOG0004064",0,2,676
"Peptidases","N0.HOG0004068",0,1,435
"Peptidases","N0.HOG0004069",1,2,81
"Peptidases","N0.HOG0004074",1,1,385
"Peptidases","N0.HOG0004077",0,2,676
"Peptidases","N0.HOG0004079",0,2,676
"Peptidases","N0.HOG0004080",2,0,383
"Peptidases","N0.HOG0004085",2,0,383
"Peptidases","N0.HOG0004087",1,0,72
"Peptidases","N0.HOG0004093",0,2,676
"Peptidases","N0.HOG0004098",2,0,383
"Peptidases","N0.HOG0004103",2,0,383
"Peptidases","N0.HOG0004107",2,2,180
"Peptidases","N0.HOG0004108",0,2,676
"Peptidases","N0.HOG0004110",0,1,435
"Peptidases","N0.HOG0004111",2,2,180
"Peptidases","N0.HOG0004112",0,1,435
"Peptidases","N0.HOG0004115",0,1,435
"Peptidases","N0.HOG0004120",3,0,65
"Peptidases","N0.HOG0004124",2,0,383
"Peptidases","N0.HOG0004136",1,1,385
"Peptidases","N0.HOG0004142",0,1,435
"Peptidases","N0.HOG0004144",0,1,435
"Peptidases","N0.HOG0004145",2,2,180
"Peptidases","N0.HOG0004146",2,0,383
"Peptidases","N0.HOG0004147",1,1,385
"Peptidases","N0.HOG0004150",0,3,131
"Peptidases","N0.HOG0004151",2,2,180
"Peptidases","N0.HOG0004160",0,2,676
"Peptidases","N0.HOG0004164",0,1,435
"Peptidases","N0.HOG0004165",1,1,385
"Peptidases","N0.HOG0004169",0,1,435
"Peptidases","N0.HOG0004175",1,1,385
"Peptidases","N0.HOG0004176",2,1,87
"Peptidases","N0.HOG0004177",0,2,676
"Peptidases","N0.HOG0004181",2,2,180
"Peptidases","N0.HOG0004185",0,2,676
"Peptidases","N0.HOG0004186",3,0,65
"Peptidases","N0.HOG0004191",2,0,383
"Peptidases","N0.HOG0004192",1,1,385
"Peptidases","N0.HOG0004194",0,2,676
"Peptidases","N0.HOG0004197",1,0,72
"Peptidases","N0.HOG0004202",1,2,81
"Peptidases","N0.HOG0004204",0,1,435
"Peptidases","N0.HOG0004206",0,2,676
"Peptidases","N0.HOG0004208",0,1.5,39
"Peptidases","N0.HOG0004209",2,0,383
"Peptidases","N0.HOG0004210",2,2,180
"Peptidases","N0.HOG0004218",0,2,676
"Peptidases","N0.HOG0004226",1,1,385
"Peptidases","N0.HOG0004229",1,1,385
"Peptidases","N0.HOG0004230",2,0,383
"Peptidases","N0.HOG0004232",1,1,385
"Peptidases","N0.HOG0004239",0,1,435
"Peptidases","N0.HOG0004241",0,2,676
"Peptidases","N0.HOG0004246",2,2,180
"Peptidases","N0.HOG0004247",0,3,131
"Peptidases","N0.HOG0004250",1,1,385
"Peptidases","N0.HOG0004253",0,1,435
"Peptidases","N0.HOG0004258",0,1,435
"Peptidases","N0.HOG0004266",0,1,435
"Peptidases","N0.HOG0004271",0,2,676
"Peptidases","N0.HOG0004276",1,1,385
"Peptidases","N0.HOG0004279",2,2,180
"Peptidases","N0.HOG0004280",2,0,383
"Peptidases","N0.HOG0004281",0,2,676
"Peptidases","N0.HOG0004282",1,1,385
"Peptidases","N0.HOG0004283",0,1,435
"Peptidases","N0.HOG0004284",1,1,385
"Peptidases","N0.HOG0004285",1,2,81
"Peptidases","N0.HOG0004294",1,2,81
"Peptidases","N0.HOG0004297",0,2,676
"Peptidases","N0.HOG0004308",2,0,383
"Peptidases","N0.HOG0004312",0,3,131
"Peptidases","N0.HOG0004321",0,2.5,10
"Peptidases","N0.HOG0004322",0,2,676
"Peptidases","N0.HOG0004325",0,1,435
"Peptidases","N0.HOG0004327",0,2,676
"Peptidases","N0.HOG0004333",0,2,676
"Peptidases","N0.HOG0004334",0,1,435
"Peptidases","N0.HOG0004338",0,1,435
"Peptidases","N0.HOG0004339",1,1,385
"Peptidases","N0.HOG0004342",1.5,0,20
"Peptidases","N0.HOG0004345",1,1,385
"Peptidases","N0.HOG0004352",1.5,1,27
"Peptidases","N0.HOG0004356",1,1,385
"Peptidases","N0.HOG0004362",1,1,385
"Peptidases","N0.HOG0004368",0,1,435
"Peptidases","N0.HOG0004369",2,1,87
"Peptidases","N0.HOG0004374",1,0,72
"Peptidases","N0.HOG0004387",0,1,435
"Peptidases","N0.HOG0004389",0,1,435
"Peptidases","N0.HOG0004391",2,0,383
"Peptidases","N0.HOG0004394",1,1,385
"Peptidases","N0.HOG0004395",2,0,383
"Peptidases","N0.HOG0004397",0,1,435
"Peptidases","N0.HOG0004404",0,1,435
"Peptidases","N0.HOG0004407",1,1,385
"Peptidases","N0.HOG0004409",0,1,435
"Peptidases","N0.HOG0004413",2,2,180
"Peptidases","N0.HOG0004416",0,2,676
