"tool_final","Orthogroup","Ambrosia","Non_Ambrosia","NumberGenes"
"CAZyme","N0.HOG0000598",0,6,12
"CAZyme","N0.HOG0000603",3,2,33
"CAZyme","N0.HOG0000604",3.5,7,1
"CAZyme","N0.HOG0000605",2,2,208
"CAZyme","N0.HOG0000606",1,2,89
"CAZyme","N0.HOG0000614",0,9,5
"CAZyme","N0.HOG0000617",4,4,11
"CAZyme","N0.HOG0000625",14,0,2
"CAZyme","N0.HOG0000626",2,1,87
"CAZyme","N0.HOG0000631",4.5,0,2
"CAZyme","N0.HOG0000635",0,7.5,3
"CAZyme","N0.HOG0000642",6,0,10
"CAZyme","N0.HOG0000645",9,0,8
"CAZyme","N0.HOG0000646",1,1,371
"CAZyme","N0.HOG0000647",2,2,208
"CAZyme","N0.HOG0000648",2,0,327
"CAZyme","N0.HOG0000649",3,3,32
"CAZyme","N0.HOG0000652",3,2,33
"CAZyme","N0.HOG0000654",12,0,3
"CAZyme","N0.HOG0000658",3,3,32
"CAZyme","N0.HOG0000659",20,0,3
"CAZyme","N0.HOG0000660",4.5,4,1
"CAZyme","N0.HOG0000661",6,3,3
"CAZyme","N0.HOG0000662",0,2,269
"CAZyme","N0.HOG0000663",0,13,2
"CAZyme","N0.HOG0000666",4,3.5,4
"CAZyme","N0.HOG0000667",2,2,208
"CAZyme","N0.HOG0000668",3,4,13
"CAZyme","N0.HOG0000669",2,4.5,1
"CAZyme","N0.HOG0000671",3,3,32
"CAZyme","N0.HOG0000674",1,1,371
"CAZyme","N0.HOG0000675",1,1,371
"CAZyme","N0.HOG0000676",2,2,208
"CAZyme","N0.HOG0000678",4,2.5,3
"CAZyme","N0.HOG0000679",2,2,208
"CAZyme","N0.HOG0000680",3,3,32
"CAZyme","N0.HOG0000681",1.5,13,1
"CAZyme","N0.HOG0000683",12.5,7,1
"CAZyme","N0.HOG0000692",4.5,0,2
"CAZyme","N0.HOG0000693",4,4,11
"CAZyme","N0.HOG0000694",1,2,89
"CAZyme","N0.HOG0000699",0,1,70
"CAZyme","N0.HOG0000701",9,9,1
"CAZyme","N0.HOG0000704",2,2,208
"CAZyme","N0.HOG0000705",3,2,33
"CAZyme","N0.HOG0000706",0,1,70
"CAZyme","N0.HOG0000707",0,10,2
"CAZyme","N0.HOG0000711",3,0,50
"CAZyme","N0.HOG0000713",14,15,1
"CAZyme","N0.HOG0000715",15,0,1
"CAZyme","N0.HOG0000716",0,8,9
"CAZyme","N0.HOG0000722",4,0,49
"CAZyme","N0.HOG0000723",4,3.5,4
"CAZyme","N0.HOG0000727",5,0,21
"CAZyme","N0.HOG0000734",0,7.5,3
"CAZyme","N0.HOG0000737",0,7,10
"CAZyme","N0.HOG0000746",1,2,89
"CAZyme","N0.HOG0000748",0,10,2
"CAZyme","N0.HOG0000749",7,7,1
"CAZyme","N0.HOG0000750",4,4,11
"CAZyme","N0.HOG0000751",3,2,33
"CAZyme","N0.HOG0000754",1,0,85
"CAZyme","N0.HOG0000755",3,4,13
"CAZyme","N0.HOG0000756",2,3,25
"CAZyme","N0.HOG0000757",3,3,32
"CAZyme","N0.HOG0000758",0,4,43
"CAZyme","N0.HOG0000767",3,4,13
"CAZyme","N0.HOG0000768",8,0,2
"CAZyme","N0.HOG0000769",6,3,3
"CAZyme","N0.HOG0000770",3,0,50
"CAZyme","N0.HOG0000771",1,0,85
"CAZyme","N0.HOG0000772",5,0,21
"CAZyme","N0.HOG0000773",3,7,1
"CAZyme","N0.HOG0000781",2,1,87
"CAZyme","N0.HOG0000785",3,0,50
"CAZyme","N0.HOG0000789",0,8,9
"CAZyme","N0.HOG0000791",3,0,50
"CAZyme","N0.HOG0000794",3,3,32
"CAZyme","N0.HOG0000799",5,2,2
"CAZyme","N0.HOG0000800",4,6,2
"CAZyme","N0.HOG0000804",2,2,208
"CAZyme","N0.HOG0000805",0,5.5,5
"CAZyme","N0.HOG0000808",8,0,2
"CAZyme","N0.HOG0000809",9,0,8
"CAZyme","N0.HOG0000811",1,1,371
"CAZyme","N0.HOG0000812",1,1,371
"CAZyme","N0.HOG0000813",0,4,43
"CAZyme","N0.HOG0000814",2,2,208
"CAZyme","N0.HOG0000815",1,1,371
"CAZyme","N0.HOG0000817",0,2,269
"CAZyme","N0.HOG0000819",7,6,1
"CAZyme","N0.HOG0000826",4,4,11
"CAZyme","N0.HOG0000832",2,2,208
"CAZyme","N0.HOG0000833",1,1,371
"CAZyme","N0.HOG0000835",2,2,208
"CAZyme","N0.HOG0000843",1,1,371
"CAZyme","N0.HOG0000844",1,1,371
"CAZyme","N0.HOG0000853",5,5,5
"CAZyme","N0.HOG0000857",1,1,371
"CAZyme","N0.HOG0000858",2.5,1.5,1
"CAZyme","N0.HOG0000859",1.5,2,20
"CAZyme","N0.HOG0000860",1.5,2,20
"CAZyme","N0.HOG0000861",1,0,85
"CAZyme","N0.HOG0000862",1,2,89
"CAZyme","N0.HOG0000863",1.5,2,20
"CAZyme","N0.HOG0000864",3,3,32
"CAZyme","N0.HOG0000868",2,0,327
"CAZyme","N0.HOG0000871",2,2,208
"CAZyme","N0.HOG0000875",2,2,208
"CAZyme","N0.HOG0000876",3.5,4.5,1
"CAZyme","N0.HOG0000888",3,3,32
"CAZyme","N0.HOG0000889",3,2,33
"CAZyme","N0.HOG0000890",4,2,8
"CAZyme","N0.HOG0000899",3,2,33
"CAZyme","N0.HOG0000902",7,1,2
"CAZyme","N0.HOG0000907",5,3,5
"CAZyme","N0.HOG0000909",2.5,2,3
"CAZyme","N0.HOG0000911",4.5,6,1
